page,roles,team,permission,guest_allowed
/portal/admin/dashboard.html,"admin,super_admin",,admin.dashboard,False
/portal/admin/help.html,"admin,super_admin",,admin.help,False
/portal/admin/reports.html,"admin,super_admin",,admin.reports,False
/portal/super-admin/ai-seo-dashboard.html,super_admin,,super_admin.ai_seo,False
/portal/super-admin/approvals.html,super_admin,,super_admin.approvals,False
/portal/super-admin/audit-logs.html,super_admin,,super_admin.audit_logs,False
/portal/super-admin/dashboard.html,super_admin,,super_admin.dashboard,False
/portal/super-admin/uni-wiki.html,super_admin,,super_admin.uni_wiki,False
/portal/admin/wiki.html,"admin,super_admin",,admin.wiki,False
/portal/agent/commissions.html,agent,,agent.commissions,False
/portal/agent/dashboard.html,agent,,agent.dashboard,False
/portal/agent/scholarships.html,agent,,agent.scholarships,False
/portal/auth/agent-signup.html,,,auth.agent_signup,True
/portal/agent/students.html,agent,,agent.students,False
/portal/agent/support.html,agent,,agent.support,False
/portal/agent/universities.html,agent,,agent.universities,False
/portal/admin/agreement-management.html,"admin,super_admin",,admin.agreements,False
/portal/admin/analytics.html,"admin,super_admin",,admin.analytics,False
/portal/admin/crm-dashboard.html,"admin,super_admin",,admin.crm,False
/portal/staff/ekhlas/community-auditor.html,"staff,super_admin",ekhlas,staff.ekhlas.community_auditor,False
/portal/staff/ekhlas/india-outreach.html,"staff,super_admin",ekhlas,staff.ekhlas.india_outreach,False
/portal/staff/ekhlas/dashboard.html,"staff,super_admin",ekhlas,staff.ekhlas.dashboard,False
/portal/staff/ekhlas/training-manuals.html,"staff,super_admin",ekhlas,staff.ekhlas.training,False
/portal/staff/maanisha/inti-benchmarks.html,"staff,super_admin",maanisha,staff.maanisha.inti_benchmarks,False
/portal/staff/maanisha/dashboard.html,"staff,super_admin",maanisha,staff.maanisha.dashboard,False
/portal/staff/maanisha/revenue-forecast.html,"staff,super_admin",maanisha,staff.maanisha.revenue_forecast,False
/portal/staff/maanisha/university-vault.html,"staff,super_admin",maanisha,staff.maanisha.university_vault,False
/portal/staff/rafshan/community-manager.html,"staff,super_admin",rafshan,staff.rafshan.community_manager,False
/portal/staff/rafshan/dashboard.html,"staff,super_admin",rafshan,staff.rafshan.dashboard,False
/portal/staff/rafshan/reels-library.html,"staff,super_admin",rafshan,staff.rafshan.reels_library,False
/portal/staff/rafshan/strategy-calendar.html,"staff,super_admin",rafshan,staff.rafshan.strategy_calendar,False
/portal/staff/seo/dashboard.html,"staff,admin,super_admin",seo,staff.seo.dashboard,False
/portal/student/application.html,student,,student.application,False
/portal/student/dashboard.html,student,,student.dashboard,False
/portal/student/document-vault.html,student,,student.document_vault,False
/portal/admin/students.html,"admin,super_admin",,admin.students,False
/portal/student/details.html,student,,student.details,False
/portal/staff/dashboard.html,"staff,super_admin",,staff.dashboard,False
